,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore
129086,2020,13439,510400,66.0,2,3.0,510400,19.01,19.01,5,5
129087,2020,24052,510000,25.0,2,2.875,510000,16.57,16.57,5,5
129088,2020,9377,449227,94.0,2,3.0,450000,27.73,27.73,5,5
129089,2020,13589,437950,95.0,2,3.0,437950,18.28,18.28,4,4
129097,2020,15541,485565,95.0,2,3.0,486400,17.81,17.81,5,4
129102,2020,19043,400800,80.0,2,3.25,400800,11.89,11.89,4,5
129108,2020,11947,434252,83.0,2,2.99,435000,18.79,18.79,5,5
129111,2020,29147,476000,80.0,2,3.0,476000,10.17,10.17,5,5
129116,2020,17317,486046,95.0,2,3.125,486864,15.64,15.64,3,4
129120,2020,10417,403321,80.0,2,3.125,404000,23.39,23.39,5,5
129122,2020,12982,557701,95.0,2,3.375,558600,27.99,27.99,3,3
129126,2020,24105,763715,64.0,2,3.125,765000,27.0,27.0,5,4
129129,2020,18522,503135,80.0,2,3.0,504000,15.41,15.41,5,5
129130,2020,29167,539430,79.0,2,3.375,540300,11.2,11.2,5,5
129136,2020,13313,401644,75.0,2,3.125,403000,16.79,16.79,4,4
129138,2020,11479,494258,70.0,2,2.875,496000,24.35,24.35,5,5
129145,2020,8579,442455,80.0,2,3.125,443200,28.82,28.82,3,4
129150,2020,26544,716644,75.0,2,3.625,717750,18.41,18.41,4,5
129152,2020,20680,557462,80.0,2,3.125,558400,14.87,14.87,5,5
129153,2020,26195,737519,92.0,2,3.125,738760,15.76,15.76,5,5
129199,2020,20832,765600,65.0,2,3.0,765600,26.21,26.21,4,4
129203,2020,12794,484000,80.0,2,3.0,484000,23.08,23.08,5,5
129213,2020,12678,379000,80.0,2,3.25,379000,18.38,18.38,5,5
129219,2020,19518,440000,80.0,2,3.25,440000,13.18,13.18,5,5
129225,2020,16880,337907,77.0,2,3.0,337907,17.26,17.26,5,5
129226,2020,18888,437850,82.0,2,3.375,437850,14.17,14.17,5,4
129234,2020,12500,475000,80.0,2,3.0,475000,26.42,26.42,5,5
129240,2020,13259,407000,82.0,2,2.875,407000,24.81,24.81,5,5
129265,2020,17630,508000,80.0,2,3.125,508000,19.64,19.64,4,4
129286,2020,17680,337500,91.0,2,2.875,337500,12.81,12.81,4,5
129298,2020,12877,321125,54.0,2,3.0,321125,20.38,20.38,4,4
129330,2020,26073,400000,75.0,2,2.875,400000,12.54,12.54,5,5
129332,2020,26659,336000,80.0,2,2.875,336000,6.9,6.9,5,5
129336,2020,18916,446000,80.0,2,3.25,446000,16.41,16.41,4,4
129346,2020,18655,370000,80.0,2,2.75,370000,8.1,8.1,2,4
129367,2020,13750,384000,80.0,2,2.875,384000,15.55,15.55,5,5
129388,2020,11228,452000,80.0,2,2.625,452000,21.58,21.58,5,4
129400,2020,18813,365500,87.0,2,3.375,365500,13.14,13.14,5,5
129413,2020,14706,424300,84.0,2,3.125,424300,17.33,17.33,5,5
129418,2020,19475,464000,80.0,2,3.0,464000,19.78,19.78,4,4
129440,2020,9971,381548,80.0,2,3.375,381548,24.68,24.68,5,5
129473,2020,28888,510000,68.0,1,2.75,510000,11.66,11.66,4,9
129480,2020,18346,407200,80.0,2,2.75,407200,14.35,14.35,5,5
129484,2020,24167,510400,54.0,2,3.0,510400,15.0,15.0,5,5
129525,2020,19783,395000,65.0,2,2.75,395000,15.83,15.83,5,5
129528,2020,28358,390000,51.0,2,2.875,390000,25.58,25.58,5,5
129532,2020,11667,478000,79.0,2,2.875,478000,22.02,22.02,5,5
129556,2020,14283,440000,74.0,2,2.875,440000,19.01,19.01,5,5
129572,2020,12922,357935,96.0,2,3.5,358500,19.5,19.5,5,5
129595,2020,15889,510400,80.0,2,4.0,510400,21.49,21.49,3,5
129606,2020,23976,450000,57.0,2,3.15,450000,14.2,14.2,5,5
129610,2020,25028,452000,80.0,2,3.05,452000,11.18,11.18,4,4
129613,2020,22609,305600,80.0,2,3.5,305600,10.37,10.37,5,4
129617,2020,22874,451250,68.0,2,3.25,451250,12.13,12.13,5,4
129636,2020,24674,510000,68.0,2,3.375,510000,13.71,13.71,5,5
129658,2020,12500,418570,95.0,2,3.25,418570,19.17,19.17,5,5
129674,2020,20463,451700,85.0,2,3.0,451700,14.22,14.22,5,5
129678,2020,11983,471500,84.0,2,3.375,471500,26.71,26.71,5,5
129679,2020,8913,461494,80.0,2,3.375,461494,31.16,31.16,5,5
129684,2020,16464,455000,53.0,2,2.875,455000,16.88,16.88,5,5
129696,2020,18910,409750,61.0,2,3.25,409750,14.04,14.04,5,5
129701,2020,11389,475000,80.0,2,3.375,475000,25.59,25.59,5,5
129706,2020,13784,462000,84.0,2,3.0,462000,19.43,19.43,5,4
129720,2020,17694,356250,95.0,2,2.875,356250,11.71,11.71,5,4
129722,2020,23311,420000,66.0,2,2.875,420000,10.91,10.91,5,5
129731,2020,15435,400000,73.0,2,2.875,400000,16.74,16.74,4,3
129734,2020,11878,456000,80.0,2,3.375,456000,22.35,22.35,4,3
129748,2020,22733,374000,68.0,2,2.875,374000,14.31,14.31,5,5
129749,2020,11700,438000,70.0,2,3.25,438000,26.7,26.7,5,5
129752,2020,10398,448500,38.0,2,3.0,448500,23.01,23.01,4,5
129753,2020,11941,485000,58.0,2,3.0,485000,25.26,25.26,5,3
129758,2020,13826,387200,80.0,2,3.0,387200,18.47,18.47,4,4
129759,2020,15414,380000,80.0,2,3.0,380000,15.16,15.16,5,4
129764,2020,25450,412800,80.0,2,3.125,412800,10.23,10.23,5,5
129768,2020,12642,382400,80.0,2,3.5,382400,22.41,22.41,4,4
129775,2020,11041,369500,61.0,2,3.0,369500,24.3,24.3,5,5
129776,2020,15973,630152,93.0,2,4.0,631062,24.22,24.22,4,5
129783,2020,21294,395000,58.0,2,3.0,395000,14.41,14.41,4,5
129787,2020,18730,509533,75.0,2,4.375,510221,22.16,22.16,4,3
129791,2020,11750,512227,95.0,2,3.75,513000,25.83,25.83,5,3
129792,2020,13601,385456,80.0,2,4.125,386000,13.85,13.85,3,4
129793,2020,14621,408383,69.0,2,3.75,409000,16.73,16.73,4,4
129799,2020,14404,765500,92.0,2,3.75,765500,33.09,33.09,3,4
129806,2020,11537,552000,80.0,2,3.125,552000,28.19,28.19,5,5
129807,2020,26863,754400,80.0,2,3.25,754400,15.44,15.44,5,5
129809,2020,8267,500000,79.0,2,3.0,500000,33.59,33.59,5,5
129815,2020,22085,380000,80.0,2,3.5,380000,12.0,12.0,4,4
129819,2020,13541,765600,95.0,2,3.375,765600,28.86,28.86,5,5
129828,2020,11872,520000,80.0,2,4.125,520000,27.26,27.26,3,5
129830,2020,26408,620000,68.0,2,3.875,620000,19.44,19.44,5,5
129831,2020,15828,765600,84.0,2,3.5,765600,31.23,31.23,5,5
129832,2020,12386,651334,91.0,2,3.875,651334,31.57,31.57,4,4
129834,2020,18094,688683,90.0,2,3.625,688683,22.28,22.28,4,4
129835,2020,10272,552500,85.0,2,3.5,552500,32.1,32.1,5,5
129836,2020,19824,536000,83.0,2,3.375,536000,15.47,15.47,5,5
129843,2020,15773,366017,80.0,2,3.375,367200,20.22,20.22,4,4
129844,2020,11607,530100,90.0,2,3.375,530100,27.6,27.6,4,4
129845,2020,18333,692000,77.0,2,3.25,692000,21.72,21.72,5,5
129849,2020,20259,650000,74.0,2,3.25,650000,18.92,18.92,5,5
129856,2020,19467,738730,80.0,2,3.0,740000,20.59,20.59,5,5
129861,2020,11903,409311,78.0,2,3.125,410000,21.4,21.4,5,5
129865,2020,11369,364000,87.0,2,3.0,364000,18.24,18.24,5,5
129868,2020,19068,360000,75.0,2,3.125,360000,10.76,10.76,5,5
129869,2020,14186,561633,75.0,2,3.625,562500,23.71,23.71,5,5
129875,2020,18773,386335,72.0,2,3.0,387000,11.64,11.64,5,5
129876,2020,27409,510400,71.0,2,3.25,510400,12.02,12.02,5,5
129883,2020,13113,494000,95.0,2,3.0,494000,26.83,26.83,4,5
129888,2020,20404,730271,59.0,2,3.125,731500,25.62,25.62,5,5
129893,2020,13081,431305,90.0,2,3.375,432000,19.59,19.59,3,5
129905,2020,10657,456330,95.0,2,3.375,457805,27.89,27.89,3,5
129912,2020,16333,401852,79.0,2,3.375,402500,14.56,14.56,5,5
129913,2020,18679,444883,80.0,2,3.375,445600,13.99,13.99,4,5
129917,2020,12132,689818,80.0,2,3.5,692000,32.4,32.4,4,5
129919,2020,14055,459260,80.0,2,3.375,460000,18.05,18.05,4,5
129923,2020,16167,490210,80.0,2,3.375,491000,17.26,17.26,5,5
129927,2020,12073,458277,92.0,2,3.5,459000,25.85,25.85,5,3
129930,2020,10313,498678,90.0,2,3.25,499500,29.46,29.46,4,3
129932,2020,20982,431910,90.0,2,3.25,431910,15.87,15.87,3,4
129949,2020,14253,506000,54.0,2,2.875,506000,21.89,21.89,5,4
129950,2020,24751,408000,78.0,2,3.25,408000,10.38,10.38,5,4
129954,2020,16164,385500,75.0,2,3.0,385500,17.93,17.93,5,5
129955,2020,19614,500000,76.0,2,3.25,500000,16.12,16.12,5,5
129959,2020,24284,491850,90.0,2,3.25,491850,6.39,6.39,5,5
129961,2020,10769,480000,80.0,2,3.0,480000,24.22,24.22,5,5
129966,2020,13002,374561,86.0,2,3.5,374561,17.38,17.38,3,4
129969,2020,26770,444000,78.0,2,3.125,444000,12.94,12.94,3,4
129971,2020,9583,412000,80.0,2,3.125,412000,23.83,23.83,5,5
129979,2020,13257,413000,76.0,2,3.375,413000,27.47,27.47,5,5
130010,2020,12885,359000,65.0,2,3.125,359000,15.24,15.24,4,3
130028,2020,27125,461000,75.0,2,3.0,461000,12.07,12.07,5,5
130029,2020,23157,510400,68.0,2,3.125,510400,15.74,15.74,4,4
130057,2020,17635,504000,79.0,2,2.875,504000,17.74,17.74,5,5
130060,2020,12500,342120,73.0,2,2.875,342120,20.14,20.14,5,5
130063,2020,25000,385000,66.0,2,2.875,385000,10.98,10.98,5,5
130065,2020,12396,380000,87.0,2,2.875,380000,19.5,19.5,4,5
130074,2020,23541,416000,80.0,2,2.875,416000,12.03,12.03,4,5
130086,2020,14414,344000,75.0,2,2.875,344000,19.39,19.39,5,5
130088,2020,22447,392000,63.0,2,2.875,392000,13.28,13.28,5,5
130089,2020,17893,460000,80.0,2,2.875,460000,16.6,16.6,5,5
130091,2020,10000,458400,80.0,2,2.875,458400,27.06,27.06,5,5
130097,2020,16503,461000,55.0,2,3.0,461000,17.74,17.74,5,5
130103,2020,13423,475000,74.0,2,2.875,475000,20.53,20.53,5,5
130104,2020,11821,496000,80.0,2,2.875,496000,26.35,26.35,3,2
130106,2020,17423,395500,52.0,2,2.875,395500,17.88,17.88,4,5
130119,2020,27241,305000,54.0,2,2.875,305000,7.31,7.31,5,4
130192,2020,9516,437000,33.0,2,2.875,437000,29.73,29.73,5,5
130209,2020,15676,378000,80.0,2,2.75,378000,11.39,11.39,5,5
130211,2020,22916,510000,59.0,1,2.5,510000,8.8,8.8,5,9
130220,2020,17504,456000,80.0,2,2.5,456000,12.86,12.86,4,4
130229,2020,14397,400000,58.0,2,2.75,400000,13.96,13.96,5,3
130232,2020,21666,510000,66.0,2,2.5,510000,11.21,11.21,5,5
130238,2020,21959,417000,57.0,2,3.125,417000,15.11,15.11,4,5
130244,2020,15250,410000,76.0,2,3.125,410000,16.44,16.44,5,5
130247,2020,25696,510400,69.0,2,2.875,510400,15.54,15.54,5,4
130254,2020,18458,492000,80.0,2,2.875,492000,18.32,18.32,5,5
130262,2020,12561,378000,90.0,2,3.125,378000,17.64,17.64,4,4
130268,2020,11032,377509,71.0,2,3.5,379300,18.32,18.32,5,5
130287,2020,21666,402600,65.0,2,2.75,402600,12.24,12.24,5,5
130290,2020,14287,424650,95.0,2,2.75,424650,17.12,17.12,5,4
130292,2020,17911,449925,75.0,2,2.75,449925,15.32,15.32,5,4
130296,2020,12610,510000,41.0,2,2.75,510000,22.97,22.97,5,5
130305,2020,14549,417500,78.0,2,2.625,417500,23.1,23.1,5,5
130318,2020,20003,355000,61.0,2,3.0,355000,11.72,11.72,5,5
130336,2020,17156,427000,78.0,2,2.875,427000,16.03,16.03,5,5
130382,2020,12325,409000,80.0,2,2.75,409000,19.61,19.61,4,4
130388,2020,13737,384750,95.0,2,2.875,384750,17.22,17.22,5,5
130403,2020,15518,380500,74.0,2,2.625,380500,14.58,14.58,4,5
130414,2020,12500,510400,79.0,2,2.875,510400,26.04,26.04,5,5
130422,2020,9745,360000,80.0,2,2.75,360000,20.4,20.4,4,4
130424,2020,21730,347200,80.0,2,2.5,347200,9.31,9.31,5,5
130446,2020,22917,400000,35.0,2,2.625,400000,13.57,13.57,5,5
130455,2020,12538,380000,78.0,2,3.5,380000,22.13,22.13,4,3
130466,2020,12471,510400,75.0,2,2.875,510400,24.75,24.75,5,5
130565,2020,10085,346000,80.0,2,3.0,346000,20.24,20.24,4,4
130572,2020,26844,385000,54.0,2,2.875,385000,14.44,14.44,5,5
130590,2020,12812,455297,80.0,2,3.625,456000,21.19,21.19,5,2
130591,2020,19245,441241,86.0,2,3.375,441952,13.44,13.44,3,4
130592,2020,29937,447247,80.0,2,3.125,448000,9.34,9.34,5,4
130600,2020,16903,457533,95.0,2,3.25,458287,16.98,16.98,5,4
130601,2020,17542,380000,79.0,2,3.125,380000,11.11,11.11,5,5
130604,2020,20875,304000,80.0,2,2.875,304000,18.79,18.79,5,5
130613,2020,19389,494000,95.0,2,3.49,494000,16.28,16.28,3,3
130616,2020,13204,469900,76.0,2,3.25,469900,20.5,20.5,5,5
130627,2020,13292,466748,85.0,2,3.375,467500,20.83,20.83,2,5
130629,2020,14313,427000,76.0,2,3.25,427000,23.24,23.24,5,5
130630,2020,10941,499376,82.0,2,3.25,500199,31.48,31.48,4,4
130631,2020,18342,381600,80.0,2,3.125,381600,11.35,11.35,5,4
130634,2020,13105,399302,80.0,2,3.25,399960,16.42,16.42,5,3
130638,2020,22917,366000,61.0,2,2.875,366000,9.59,9.59,5,5
130639,2020,20021,720000,80.0,2,3.125,720000,20.41,20.41,5,5
130641,2020,9524,435267,80.0,2,3.125,436000,24.84,24.84,4,4
130643,2020,24035,345904,90.0,2,2.99,346500,27.06,27.06,5,4
130652,2020,10323,411242,80.0,2,3.25,411920,19.84,19.84,5,3
130658,2020,12206,558061,80.0,2,3.125,559000,25.8,25.8,3,3
130659,2020,21495,507234,75.0,2,2.875,508125,10.53,10.53,5,5
130661,2020,19583,503116,80.0,2,2.875,504000,13.58,13.58,5,5
130666,2020,10001,464000,79.0,2,3.0,464000,26.17,26.17,5,5
130668,2020,20237,760000,86.0,2,2.875,760000,22.49,22.49,5,5
130669,2020,12916,509522,76.0,2,2.99,510400,23.38,23.38,5,5
130671,2020,17949,440558,73.0,2,3.125,441300,14.31,14.31,5,4
130672,2020,15025,363500,73.0,2,2.99,363500,14.55,14.55,5,5
130680,2020,17117,451250,95.0,2,2.875,451250,14.48,14.48,5,4
130683,2020,16026,410012,90.0,2,2.875,410733,11.35,11.35,3,5
130685,2020,19773,509505,71.0,2,2.875,510400,15.16,15.16,4,4
130690,2020,14493,374408,75.0,2,3.49,375000,17.12,17.12,3,3
130691,2020,18960,509486,73.0,2,2.75,510400,17.77,17.77,3,5
130692,2020,22120,470400,80.0,2,3.125,470400,13.81,13.81,5,5
130694,2020,24417,427000,72.0,2,3.25,427000,9.55,9.55,5,5
130699,2020,19196,765600,66.0,2,3.75,765600,30.35,30.35,4,4
130702,2020,29680,372000,80.0,2,2.875,372000,11.1,11.1,5,5
130707,2020,16666,413000,88.0,2,3.375,413000,14.76,14.76,5,5
130720,2020,13379,360000,66.0,2,2.75,360000,16.33,16.33,5,5
130726,2020,20333,510000,79.0,2,3.0,510000,16.71,16.71,4,4
130729,2020,12761,450000,70.0,2,3.125,450000,20.31,20.31,5,5
130743,2020,14294,394155,95.0,2,3.25,394155,16.02,16.02,5,5
130749,2020,13770,352000,80.0,2,2.875,352000,16.73,16.73,5,5
130791,2020,11633,360000,80.0,2,2.875,360000,21.8,21.8,4,5
130796,2020,19596,510000,54.0,2,2.875,510000,19.71,19.71,5,5
130875,2020,14501,367200,80.0,2,2.75,367200,14.76,14.76,4,5
131004,2020,15416,430000,76.0,2,2.75,430000,16.0,16.0,5,5
131016,2020,22090,350000,48.0,2,2.75,350000,11.46,11.46,4,4
131026,2020,24880,480000,57.0,2,2.75,480000,8.69,8.69,4,4
131035,2020,9753,481000,70.0,2,2.875,481000,35.22,35.22,5,5
131062,2020,15451,456000,80.0,2,2.75,456000,24.14,24.14,4,5
131070,2020,12069,331200,80.0,2,3.0,331200,22.18,22.18,5,4
131076,2020,29383,510400,73.0,2,2.875,510400,13.95,13.95,4,5
131084,2020,12673,369100,63.0,2,3.0,369100,18.13,18.13,4,5
131090,2020,28781,510400,55.0,2,2.75,510400,15.08,15.08,5,5
131095,2020,19095,380000,71.0,2,3.0,380000,15.99,15.99,4,4
131104,2020,15692,435900,80.0,2,3.25,435900,17.16,17.16,5,5
131119,2020,13913,599000,53.0,2,3.25,599000,27.13,27.13,5,5
131128,2020,16092,710400,80.0,2,3.75,710400,25.01,25.01,5,3
131158,2020,13750,412000,80.0,2,3.5,412000,24.15,24.15,5,5
131170,2020,14637,438104,80.0,2,3.55,438104,20.69,20.69,5,5
131177,2020,18510,335000,79.0,2,3.8,335000,10.72,10.72,4,5
131239,2020,9029,364000,80.0,2,3.0,364000,19.96,19.96,5,5
131281,2020,20045,372000,80.0,2,2.75,372000,11.7,11.7,5,5
131293,2020,26666,448000,80.0,2,2.75,448000,9.83,9.83,5,5
131311,2020,17679,340000,65.0,2,3.375,340000,16.28,16.28,3,4
131313,2020,19844,449100,90.0,2,3.125,449100,14.79,14.79,4,4
131326,2020,25287,372559,80.0,2,3.0,373200,7.7,7.7,5,5
131327,2020,30047,510400,54.0,1,3.0,510400,13.46,13.46,5,9
131337,2020,15011,484000,80.0,2,3.0,484000,18.22,18.22,4,4
131347,2020,12916,349000,95.0,2,3.0,349000,15.93,15.93,4,4
131356,2020,23307,315000,52.0,2,2.875,315000,8.8,8.8,5,5
131365,2020,16339,415000,87.0,2,2.75,415000,14.15,14.15,5,5
131373,2020,16959,472800,80.0,2,2.5,472800,15.58,15.58,5,4
131375,2020,30365,510400,52.0,2,2.75,510400,15.07,15.07,5,5
131377,2020,28060,509505,50.0,2,2.875,510400,19.23,19.23,5,5
131382,2020,10066,401600,80.0,2,3.5,401600,26.16,26.16,5,3
131383,2020,24613,456000,80.0,2,3.25,456000,14.0,14.0,3,3
131388,2020,14767,510400,92.0,2,2.99,510400,21.29,21.29,5,5
131396,2020,22211,498750,95.0,2,2.875,498750,16.45,16.45,5,5
131401,2020,28466,301500,90.0,3,3.25,301500,20.08,20.08,4,4
131406,2020,23365,503176,80.0,2,3.0,503176,13.02,13.02,4,4
131407,2020,16988,456000,80.0,2,3.375,456000,19.29,19.29,5,3
131410,2020,12499,388072,85.0,2,3.5,389300,19.93,19.93,3,4
131412,2020,13668,463131,74.0,2,3.25,464661,22.38,22.38,4,5
131414,2020,19196,431289,80.0,2,3.25,432000,13.45,13.45,5,3
131424,2020,15776,341000,85.0,2,3.0,341000,13.05,13.05,4,4
131463,2020,20080,504000,63.0,2,2.75,504000,18.37,18.37,5,5
131470,2020,18915,400000,80.0,2,2.75,400000,11.33,11.33,5,9
131509,2020,21107,358000,78.0,2,2.625,358000,9.78,9.78,5,5
131553,2020,18701,338200,95.0,2,3.3,338200,12.82,12.82,3,3
131555,2020,14942,378955,95.0,2,3.35,378955,15.75,15.75,5,5
131564,2020,15416,350000,53.0,2,3.0,350000,15.28,15.28,5,5
131575,2020,15398,372000,85.0,2,2.75,372000,13.84,13.84,5,5
131588,2020,17745,484773,80.0,2,3.25,486375,16.99,16.99,5,4
131589,2020,10149,509105,80.0,2,2.875,510000,27.63,27.63,5,3
131596,2020,20240,762969,79.0,2,3.0,765600,22.1,22.1,5,5
131599,2020,26000,441000,90.0,2,2.875,441000,10.23,10.23,5,3
131614,2020,14372,510400,72.0,2,2.75,510400,29.85,29.85,5,4
131622,2020,11387,374000,85.0,2,3.25,374000,22.29,22.29,4,4
131633,2020,20250,508608,80.0,2,2.875,510400,10.53,10.53,3,5
131636,2020,15718,635952,58.0,2,3.25,637000,25.39,25.39,5,5
131645,2020,17500,698824,68.0,2,3.125,700000,23.3,23.3,5,5
131649,2020,14583,606000,78.0,2,3.25,606000,25.16,25.16,5,5
131653,2020,20735,580315,69.0,2,3.375,581250,16.17,16.17,5,5
131662,2020,20206,509542,70.0,2,3.125,510400,17.86,17.86,4,3
131664,2020,20561,588073,95.0,2,3.5,589000,19.09,19.09,3,4
131667,2020,16578,656616,80.0,2,2.875,657770,21.52,21.52,5,4
131669,2020,20834,435000,73.0,2,2.75,435000,15.33,15.33,5,5
131670,2020,12951,374000,80.0,2,3.3,374000,17.15,17.15,5,5
131672,2020,14223,456000,80.0,2,2.875,456000,18.34,18.34,5,4
131677,2020,18165,364000,78.0,2,2.75,364000,12.59,12.59,4,4
131678,2020,13770,519088,80.0,2,2.875,520000,20.93,20.93,2,5
131692,2020,21666,450000,72.0,2,2.625,450000,21.12,21.12,5,5
131694,2020,22492,396000,71.0,2,2.5,396000,8.65,8.65,5,4
131754,2020,17250,559059,80.0,2,3.125,560000,18.85,18.85,5,5
131786,2020,25187,509505,77.0,2,2.875,510400,13.01,13.01,5,5
131787,2020,20574,462721,76.0,2,3.125,463500,14.17,14.17,3,4
131804,2020,22790,509466,90.0,2,2.625,510400,15.22,15.22,5,5
131805,2020,15094,459000,90.0,2,2.75,459000,17.99,17.99,4,4
131824,2020,14901,472000,80.0,2,2.5,472000,18.61,18.61,4,5
131831,2020,20557,353000,93.0,2,2.625,353000,10.51,10.51,4,5
131839,2020,9783,408000,80.0,2,2.375,408000,19.92,19.92,5,5
131854,2020,17663,510000,72.0,2,3.15,510000,18.95,18.95,5,5
131863,2020,14642,460000,80.0,2,2.875,460000,18.65,18.65,4,4
131866,2020,21241,509561,66.0,2,3.25,510400,18.91,18.91,3,3
131869,2020,23859,510000,78.0,2,2.875,510000,11.3,11.3,4,5
131873,2020,20417,508400,36.0,2,2.5,508400,19.37,19.37,5,5
131887,2020,28258,375000,73.0,2,2.875,375000,8.2,8.2,5,4
131894,2020,12414,374800,80.0,2,2.875,374800,13.91,13.91,3,3
131907,2020,13141,510000,65.0,2,2.5,510000,20.48,20.48,5,5
131932,2020,11587,416000,80.0,2,2.875,416000,23.92,23.92,3,3
131939,2020,12500,378000,84.0,2,3.125,378000,20.48,20.48,5,4
131940,2020,16624,398400,80.0,2,2.625,398400,21.32,21.32,5,5
131954,2020,8935,496000,79.0,2,3.0,496000,33.33,33.33,5,5
131956,2020,11918,372600,72.0,2,2.5,372600,18.35,18.35,3,4
131963,2020,16599,510000,44.0,2,2.5,510000,26.12,26.12,4,4
131995,2020,9731,413100,90.0,2,2.625,413100,25.11,25.11,5,5
131996,2020,19884,764283,72.0,2,2.99,765600,24.84,24.84,5,5
131999,2020,16484,545292,95.0,2,2.875,546250,19.1,19.1,4,3
132000,2020,9500,504100,75.0,2,2.875,504986,38.24,38.24,4,4
132011,2020,24221,338500,71.0,2,2.75,338500,8.09,8.09,5,5
132024,2020,14339,470000,68.0,2,2.625,470000,17.36,17.36,5,5
132026,2020,12856,474425,80.0,2,2.375,474425,21.29,21.29,5,5
132031,2020,25549,612750,95.0,2,3.0,612750,16.3,16.3,3,4
132052,2020,19666,455000,63.0,2,2.75,455000,17.11,17.11,4,4
132056,2020,12413,500649,95.0,2,3.0,500649,26.18,26.18,4,3
132062,2020,16360,470000,75.0,2,2.625,470000,23.79,23.79,3,3
132065,2020,13845,454217,79.0,2,2.99,455000,18.46,18.46,5,4
132070,2020,28335,406040,90.0,2,2.5,406800,8.52,8.52,5,5
132073,2020,8260,642783,79.0,2,3.0,645000,43.44,43.44,3,2
132075,2020,17072,510400,80.0,2,2.625,510400,19.21,19.21,5,5
132089,2020,18447,510400,78.0,2,2.5,510400,15.32,15.32,5,5
132092,2020,27416,764341,77.0,2,3.25,765600,17.54,17.54,4,5
132106,2020,19167,381829,90.0,2,2.875,382500,14.84,14.84,5,5
132116,2020,18616,456000,80.0,2,3.15,456000,23.49,23.49,5,5
132118,2020,20457,427000,83.0,2,3.2,427000,13.16,13.16,3,4
132133,2020,17411,349000,79.0,2,3.0,349000,12.94,12.94,5,5
132153,2020,10642,385000,56.0,2,2.875,385000,22.28,22.28,5,5
132190,2020,9931,426000,75.0,2,2.625,426000,26.09,26.09,5,4
132203,2020,28108,340000,80.0,1,2.875,340000,6.63,6.63,5,9
132212,2020,22386,730217,95.0,2,2.875,731500,19.04,19.04,5,4
132218,2020,13756,438000,66.0,2,2.75,438000,15.35,15.35,5,5
132221,2020,18024,381829,90.0,2,2.875,382500,11.4,11.4,4,3
132223,2020,28102,496000,80.0,2,2.625,496000,9.21,9.21,4,5
132227,2020,13262,495200,80.0,2,3.2,495200,24.78,24.78,5,5
132229,2020,15761,510400,56.0,2,2.875,510400,23.63,23.63,5,5
132242,2020,15877,510400,80.0,2,2.75,510400,21.12,21.12,4,3
132257,2020,8333,435235,80.0,2,2.875,436000,28.69,28.69,4,3
132272,2020,22415,698798,80.0,2,3.0,700000,19.41,19.41,4,4
132273,2020,11149,483650,95.0,2,2.875,484500,26.02,26.02,5,3
132275,2020,13154,569753,95.0,2,3.125,570712,29.14,29.14,4,3
132287,2020,15449,365000,71.0,2,3.25,365000,14.0,14.0,5,3
132293,2020,11947,458375,95.0,2,2.625,458375,20.14,20.14,5,5
132314,2020,19537,424000,75.0,2,3.0,424000,13.99,13.99,5,5
132325,2020,9569,401000,67.0,2,3.0,401000,25.15,25.15,4,5
132328,2020,8708,373000,68.0,2,2.625,373000,20.19,20.19,5,5
132334,2020,16047,428549,91.0,2,3.125,429270,15.31,15.31,4,5
132338,2020,12092,455411,95.0,2,2.875,455411,21.1,21.1,5,5
132354,2020,27865,600965,66.0,2,2.99,602000,18.43,18.43,5,5
132355,2020,14042,475000,77.0,2,2.875,475000,19.15,19.15,4,5
132358,2020,7950,427500,90.0,2,2.75,427500,26.53,26.53,5,5
132383,2020,17684,418495,71.0,2,2.5,418495,13.53,13.53,5,4
132384,2020,21295,472587,90.0,2,3.0,473400,13.49,13.49,4,3
132389,2020,28709,569063,75.0,2,3.25,570000,11.45,11.45,5,5
132390,2020,9829,419263,82.0,2,2.875,420000,23.53,23.53,3,4
132396,2020,17019,479176,75.0,2,3.0,480000,20.7,20.7,4,3
132398,2020,23957,508608,70.0,2,2.875,510400,14.28,14.28,3,5
132410,2020,10425,354890,79.0,2,3.25,354890,19.2,19.2,5,5
132413,2020,11142,381448,64.0,2,2.875,382000,16.24,16.24,3,3
132414,2020,15832,340000,79.0,2,2.5,340000,18.0,18.0,5,5
132438,2020,18750,433304,80.0,2,2.875,433304,13.74,13.74,5,5
132443,2020,20024,457500,75.0,2,2.625,457500,13.37,13.37,5,5
132453,2020,13179,383000,77.0,2,2.875,383000,17.27,17.27,5,4
132470,2020,9815,418000,79.0,2,3.0,418000,24.54,24.54,4,5
132475,2020,17499,504000,78.0,2,2.5,504000,24.65,24.65,5,4
132497,2020,19260,339000,80.0,2,2.625,339000,14.93,14.93,5,5
132517,2020,18884,344000,80.0,2,2.95,344000,16.05,16.05,5,5
132523,2020,13478,388800,90.0,2,3.25,388800,23.92,23.92,4,4
132541,2020,13350,436000,80.0,2,2.875,436000,17.94,17.94,4,4
132555,2020,13569,397000,73.0,2,3.1,397000,21.43,21.43,5,5
132561,2020,18426,335000,80.0,2,2.95,335000,14.13,14.13,5,5
